Name,Language,IMDb Rating,Running Time,Year of Release,Viewer_age,Type
Jess + Moss,English,6.4,1 h 21 min,2011,NR,Movie
Aa Okkadu,Telugu,6.6,2 h 34 min,2009,All,Movie
Jeena Hai Toh Thok Daal,Hindi,5.5,2 h 3 min,2012,NR,Movie
Sanyasi Raja,Bengali,7.9,2 h 19 min,1975,NR,Movie
Utsavamelam,Malayalam,5.2,2 h 17 min,1992,NR,Movie
Police Power,Kannada,5.3,2 h 6 min,1995,NR,Movie
Sansaar Sangram,Bengali,None,2 h 41 min,1995,NR,Movie
Dugga,Bengali,None,14min,2020,13+,Movie
The Bank Job,Hindi,7.2,1 h 47 min,2008,18+,Movie
Top Cat (Hindi),Hindi,None,1 h 26 min,2012,All,Movie
The Raid 2,Hindi,8,2 h 24 min,2014,18+,Movie
Beverly Hills Cop II,English,6.5,1 h 42 min,1987,18+,Movie
The Intern,English,7.1,2 h 1 min,2015,13+,Movie
Agni IPS,Kannada,7.9,2 h 5 min,1997,NR,Movie
Bobbili Puli,Telugu,7.2,2 h 49 min,1982,NR,Movie
Gumnaami,Bengali,7.8,2 h 19 min,2020,13+,Movie
Dedh Ishqiya,Hindi,7.1,2 h 21 min,2014,13+,Movie
Jackpot,Hindi,2,1 h 31 min,2013,18+,Movie
Appu Chesi Pappu Koodu,Telugu,7.9,2 h 30 min,None,All,Movie
Super Nova 459,Kannada,6.7,2 h 14 min,1994,NR,Movie
Ekanta Apan,Bengali,None,2 h 25 min,1987,NR,Movie
Qayamat - City Under Threat,Hindi,4.7,2 h 36 min,2003,18+,Movie
Raja,Hindi,5.3,2 h 36 min,1995,13+,Movie
Vaalu,Tamil,4.7,2 h 31 min,2015,All,Movie
MLA Fatakesto,Bengali,None,2 h 19 min,2017,13+,Movie
San Andreas,English,6.1,1 h 54 min,2015,13+,Movie
Shikaar,Hindi,None,2 h 15 min,1999,NR,Movie
Hum To Mohabbat Karega,Hindi,2.7,2 h 28 min,2000,13+,Movie
Hum Hai Rahi Pyar Ke,Hindi,7.4,2 h 35 min,1993,All,Movie
Hyderabad Love story,Telugu,None,2 h 20 min,2018,13+,Movie
Daawat e Ishq,Hindi,6.1,1 h 58 min,2014,7+,Movie
Date Movie,English,2.8,1 h 22 min,2006,18+,Movie
Elaan,Hindi,4.4,2 h 25 min,2005,18+,Movie
Pathala Bhairavi,Telugu,8.4,3 h 2 min,None,All,Movie
Bailampudi,Telugu,6.8,1 h 55 min,2019,13+,Movie
Tor Nam,Bengali,None,2 h 30 min,2017,13+,Movie
Che Guevara: The Face That Lead a Revolution,English,None,23min,2020,13+,Movie
Menka Urvashi,Marathi,None,2 h 29 mins,2019,13+,Movie
Richie,Tamil,5.3,1 h 44 min,2017,13+,Movie
Generation Aami,Bengali,7.6,1 h 58 min,2018,13+,Movie
The Legend of Hercules,English,4.2,1 h 38 min,2014,13+,Movie
Kuppivala,Malayalam,None,2 h 15 min,2017,All,Movie
Mr. Bharath,Telugu,7.2,2 h 25 min,1989,NR,Movie
Hum Kissi Se Kum Nahin,Hindi,4.4,2 h 35 min,2002,13+,Movie
Balaka Ambedkar,Kannada,None,1 h 52 min,1991,NR,Movie
Soaring Highs and Brutal Lows,English,None,1 h 33 min,2020,13+,Movie
Shubh Kaamna,Hindi,6.3,2 h 18 min,1983,NR,Movie
Mooga Nomu,Telugu,7.9,2 h 48 min,None,All,Movie
Athagaru Swagatham,Telugu,None,1 h 55 min,1998,NR,Movie
Janam Janamer Saathi,Bengali,None,2 h 25 min,2002,NR,Movie
Queen,Malayalam,8.2,2 h 35 min,2018,13+,Movie
Epic Movie,English,2.4,1 h 24 min,2007,All,Movie
The Truman Show,English,8.1,1 h 42 min,1998,7+,Movie
Dead Trigger,English,3.6,1 h 31 min,2019,18+,Movie
Andhra Hendthi,Kannada,None,2 h 12 min,2000,NR,Movie
Chori Chori,Hindi,7.8,2 h 20 min,None,All,Movie
Eradu Rekhegalu,Kannada,None,2 h 32 min,1984,NR,Movie
Adithyan IPS,Tamil,None,1 h 31 min,1999,NR,Movie
Veer Abhimanyu,Hindi,None,1 h 7 min,2012,All,Movie
Puppy,Tamil,5,1 h 44 min,2019,13+,Movie
Thangamana Raasa,Tamil,5.8,2 h 15 min,1989,NR,Movie
The Map of Tiny Perfect Things,English,6.8,1 h 39 min,2021,13+,Movie
Krishna Arjun,Hindi,6.9,2 h 10 min,1997,NR,Movie
Back to the Future II,English,7.8,1 h 47 min,1989,All,Movie
Ullam Kollai Poguthae,Tamil,7.7,2 h 23 min,2001,All,Movie
Chopper,Bengali,7.2,1 h 24 min,2017,13+,Movie
Rajavin Parvaiyiele,Tamil,6.5,2 h 18 min,1995,All,Movie
Dahleez,Hindi,5.3,2 h 41 min,1986,All,Movie
Beauty and the Beast,Hindi,6.4,1 h 53 min,2016,7+,Movie
Maharajin,Hindi,7,30min,2018,NR,Movie
What Happens in Vegas,English,6.1,1 h 38 min,2008,13+,Movie
Rangoli,Kannada,7.5,2 h 15 min,1996,NR,Movie
KNIVES OUT,English,7.9,2 h 10 min,2019,13+,Movie
Ek Vivaah Aisa Bhi,Hindi,5.2,2 h 12 min,2008,All,Movie
One Man Show,Malayalam,5.8,2 h 19 min,2001,NR,Movie
Srimanthudu,Telugu,7.5,2 h 29 min,1971,NR,Movie
Irupathiyonnaam Noottaandu,Malayalam,3.3,2 h 40 min,2019,All,Movie
Kalpurush,Bengali,7,2 h 1 min,2017,13+,Movie
Ashkelon National Park,English,8.4,26min,2019,13+,Movie
Line of Fire,English,3.4,1 h 19 min,1979,18+,Movie
Padmaavat,Hindi,7,2 h 42 min,2018,13+,Movie
Valerian and the City of a Thousand Planets,English,6.5,2 h 16 min,2017,16+,Movie
IT,Hindi,7.3,2 h 14 min,2017,18+,Movie
Palleturu,Telugu,6,1 h 54 min,None,NR,Movie
Chinna Thambi Periya Thambi,Tamil,5.9,2 h 13 min,1987,NR,Movie
Bad Boys for Life,English,6.6,2 h 3 min,2020,18+,Movie
Meerayude Dukhavum Muthuvinte Swapnavum,Malayalam,3.6,2 h 13 min,2003,All,Movie
Johnny English,Hindi,6.2,1 h 27 min,2003,All,Movie
Jal (Water),Hindi,6.7,2 h 11 min,2014,13+,Movie
Kaashi,Hindi,None,11min,2017,All,Movie
Nagina,Hindi,6.5,2 h 17 min,1986,13+,Movie
Suriyan,Tamil,6.1,2 h 32 min,1992,All,Movie
Beverly Hills Cop,English,7.3,1 h 45 min,1984,18+,Movie
Mehbooba,Hindi,3.5,2 h 43 min,2008,All,Movie
Moonwalk One,English,7.2,1 h 43 min,2020,13+,Movie
The Murderer,Hindi,None,1 h 50 min,2011,18+,Movie
Joyee,Bengali,None,2 h 18 min,2019,13+,Movie
Target Number One,English,6.1,1 h 59 min,2020,18+,Movie
Gandharvam,Malayalam,6.4,2 h 37 min,1993,13+,Movie
Mahaan,Bengali,None,2 h 27 min,1996,NR,Movie
The Super Simple Show - Halloween,English,None,44min,2019,All,Movie
Shiva And The Lost Tribe,Hindi,None,1 h 19 min,2020,7+,Movie
Sunghursh,Hindi,6.8,2 h 22 min,None,All,Movie
Janapriyan,Malayalam,6.3,2 h 1 min,2011,NR,Movie
Unhinged,English,6,1 h 30 min,2020,18+,Movie
Find Me Guilty,English,7,1 h 59 min,2006,18+,Movie
Kadhalan,Tamil,7.2,2 h 49 min,1994,13+,Movie
Top Cat,Tamil,4.6,1 h 26 min,2012,13+,Movie
Mon Bhange Aaina,Bengali,None,1 h 54 min,2013,13+,Movie
Hunterrr,Hindi,7,2 h 20 min,2015,18+,Movie
Eluka Majaka,Telugu,5.8,2 h 7 min,2016,13+,Movie
Khauff,Hindi,4.4,1 h 59 min,2000,18+,Movie
Veedera Police,Telugu,None,2 h 24 min,1997,NR,Movie
Athaimadi Methaiyadi,Tamil,None,1 h 59 min,1989,NR,Movie
Bhoot Chaturdashi,Bengali,3.4,1 h 39 min,2019,13+,Movie
Balika Badhu,Hindi,None,1 h 51 min,1976,All,Movie
Katakuti A Game of Relationships,Bengali,None,2 h 1 min,2011,NR,Movie
Bhagya Rekha,Telugu,None,2 h 27 min,None,NR,Movie
Banshiwala,Bengali,7.3,1 h 40 min,2020,13+,Movie
Fillam,Gujarati,None,2 h 26 min,2016,All,Movie
Android Kunjappan Ver 5.25,Malayalam,8.2,2 h 17 min,2019,All,Movie
The Conjuring 2,Hindi,7.3,2 h 13 min,2016,18+,Movie
Aa Family Comedy Che,Gujarati,None,2 h 14 min,2016,All,Movie
Amar Kahini,Bengali,None,2 h 34 min,1993,NR,Movie
"El-Jazzar Mosque, The White Mosque",English,None,26min,2020,13+,Movie
Rajaji,Hindi,4.6,2 h 30 min,1999,All,Movie
Mudra,Malayalam,None,2h,1989,NR,Movie
Maafia - Telugu,Telugu,None,2 h 26 min,1993,NR,Movie
I Am Kalam,Hindi,8,1 h 28 min,2011,All,Movie
Mission: Impossible III,Hindi,6.9,2 h 5 min,2006,13+,Movie
Top End Wedding,English,6.3,1 h 42 min,2020,16+,Movie
The Mummy: Tomb of the Dragon Emperor,Hindi,5.2,1 h 51 min,2008,13+,Movie
Bharatham,Malayalam,8.4,2 h 10 min,1991,All,Movie
"Dance Party, USA",English,6.3,1 h 6 min,2006,16+,Movie
Mandya,Kannada,None,2 h 47 min,2006,13+,Movie
Adbhoot,Bengali,None,2 h 5 min,2017,13+,Movie
Sing Along With Tobee 2 - Super Simple,English,None,43min,2019,All,Movie
Mannemlo Monagadu,Telugu,None,2 h 1 min,1986,NR,Movie
Last Chance,Gujarati,7.2,2 h 13 min,2017,13+,Movie
Uyyala Jampala,Telugu,7.1,1 h 55 min,2013,All,Movie
5 Rifles,Hindi,6.4,2 h 15 min,1974,NR,Movie
The Super Simple Show - Space & Planets,English,None,45min,2019,All,Movie
Grant St. Shaving Co.,Hindi,6.4,15min,2011,13+,Movie
Avengement,English,6.5,1 h 28 min,2019,18+,Movie
Aayna Ka Bayna,Marathi,5.9,1 h 34 mins,2012,All,Movie
I Love My Muslim,English,None,53min,2019,13+,Movie
Paramanandayya Shishyula Katha,Telugu,8,2 h 58 min,None,All,Movie
Valliettan,Malayalam,6.6,2 h 51 min,2000,18+,Movie
Bhagyawan,Hindi,4.4,2 h 16 min,1993,All,Movie
Majili,Hindi,7.2,2 h 29 min,2019,13+,Movie
Chhota Bheem - Pataliputra,Hindi,6.3,1 h 5 min,2020,All,Movie
Draupathi,Tamil,3.7,2 h 27 min,2020,13+,Movie
Do Premee,Hindi,5.7,2 h 15 min,1980,All,Movie
Ishq Vishk,Hindi,6,2 h 9 min,2003,All,Movie
Ek Se Badhkar Ek,Hindi,7,2 h 33 min,2004,All,Movie
Biswasghatak,Bengali,None,2 h 15 min,2019,13+,Movie
David,Hindi,7.2,2 h 31 min,2013,13+,Movie
Titli,Bengali,7.6,1 h 43 min,2017,13+,Movie
Sura Sundaranga,Kannada,7.4,2 h 20 min,1989,NR,Movie
The Meg,Hindi,5.6,1 h 53 min,2018,13+,Movie
The Smurfs,English,5.4,1 h 42 min,2011,7+,Movie
William Shakespeare's A Midsummer Night's Dream,English,6.4,2h,1999,18+,Movie
Men in Black II,Hindi,6.2,1 h 28 min,2002,16+,Movie
The Brown Bunny,English,5,1 h 33 min,2003,18+,Movie
Govinda Gopala,Kannada,None,2 h 11 min,2007,NR,Movie
Unbounded,English,6.9,1 h 11 min,2020,13+,Movie
Karthavyam,Telugu,None,1 h 57 min,1990,All,Movie
Moonflower,English,8.3,48min,2020,13+,Movie
Rang Birangi,Hindi,7.2,2 h 1 min,1983,All,Movie
Colossal,English,6.2,1 h 44 min,2017,18+,Movie
Life Ki Aisi Ki Taisi Ho Gayi Haalat Kaisi,Hindi,None,1 h 47 min,2017,NR,Movie
Loudspeaker,Malayalam,7.4,2 h 1 min,2009,All,Movie
3 Idiots,Hindi,8.4,2 h 44 min,2009,13+,Movie
Banarasi Babu,Hindi,4.2,1 h 58 min,1997,13+,Movie
Vayasu Joru,Telugu,None,1 h 8 min,2004,NR,Movie
Ora Thakey Odhare,Bengali,None,1 h 33 min,None,NR,Movie
Gana,Telugu,None,2 h 11 min,2006,NR,Movie
Mukti Bhawan,Hindi,None,1 h 39 min,2016,7+,Movie
RAY,Bengali,5.4,1 h 53 min,2018,13+,Movie
Momma’s Man,English,None,1 h 38 min,2008,16+,Movie
"Don't Worry, He Won't Get Far on Foot",English,6.9,1 h 53 min,2018,18+,Movie
Running for Good,English,None,1 h 14 min,2019,13+,Movie
Changatham,Malayalam,5.5,3 h 2 min,2009,NR,Movie
IIT Krishnamurthy (Kannada),Kannada,5.7,1 h 50 min,2020,All,Movie
Green Lantern,Telugu,5.5,1 h 53 min,2011,All,Movie
T-34,Telugu,6.7,1 h 52 min,2018,All,Movie
Sare Chuattar,Bengali,None,1 h 37 min,2017,13+,Movie
Kellafate,Bengali,5.9,2 h 34 min,2017,13+,Movie
The Bachelors,English,6.8,1 h 39 min,2017,16+,Movie
Jack Ryan: Shadow Recruit,English,6.2,1 h 45 min,2014,13+,Movie
Green Lantern,Tamil,5.5,1 h 53 min,2011,All,Movie
Jack & Daniel,Malayalam,4.4,2 h 34 min,2019,13+,Movie
Yashoda Krishna,Telugu,6.1,2 h 55 min,1975,All,Movie
Male Barali Manju Irali,Kannada,None,2 h 25 min,2009,NR,Movie
Palatak,Bengali,8.2,2 h 13 min,None,NR,Movie
Mathu Vadalara,Telugu,8.2,2 h 8 min,2019,16+,Movie
Sita,Bengali,4.9,2 h 15 min,2017,13+,Movie
Mayilattam,Malayalam,4,2 h 22 min,2004,NR,Movie
Kismath,Malayalam,6.7,1 h 35 min,2016,All,Movie
Best Friends Forever,Hindi,None,7min,2017,All,Movie
Sri Rajeswari Vilas Coffee Club,Telugu,7.5,2 h 17 min,1976,All,Movie
Unmadiyude Maranam | ഉന്മാദിയുടെ മരണം,English,None,1 h 21 min,2019,NR,Movie
Ondu Cinema Kathe,Kannada,None,2 h 14 min,1992,NR,Movie
Soccer City,English,6,60min,2020,13+,Movie
Antigua and Barbuda,English,None,25min,2020,13+,Movie
Hackers: Guardians of the New World,English,None,56min,2020,13+,Movie
Subha Bibaha,Bengali,None,1 h 41 min,2017,13+,Movie
Onti Salaga,Kannada,None,2 h 14 min,1989,NR,Movie
Ittymaani: Made in China,Malayalam,4.6,2 h 36 min,2019,All,Movie
Gringo,Hindi,6.1,1 h 46 min,2018,16+,Movie
Fida,Hindi,5.5,1 h 57 min,2004,13+,Movie
Preethse,Kannada,7.5,2 h 27 min,2000,All,Movie
Hubli,Kannada,6.9,2 h 55 min,2006,13+,Movie
A Mini Adventure,English,None,52min,2019,13+,Movie
Charachar,Bengali,8.1,1 h 17 min,2017,13+,Movie
Vinotha Vattikari,Tamil,None,1 h 17 min,2014,NR,Movie
Ajab Prem Ki Ghazab Kahani,Hindi,6.4,2 h 24 min,2009,All,Movie
Gamer,English,5.8,1 h 34 min,2009,18+,Movie
Ernest Goes to School,English,4.8,1 h 29 min,1994,All,Movie
Main Chup Rahungi,Hindi,7.3,2 h 24 min,None,All,Movie
Papaku Padaharu,Telugu,None,1 h 37 min,2002,NR,Movie
Aghat,Bengali,None,2 h 39 min,2017,13+,Movie
Six,Malayalam,7.3,2 h 6 min,2014,NR,Movie
Mera Rakshak,Hindi,4.5,2 h 37 min,1978,NR,Movie
Old MacDonald Had a Farm & More Kids Songs - Super Simple Songs,English,None,42min,2019,All,Movie
IT,Tamil,7.3,2 h 14 min,2017,18+,Movie
Annan,Tamil,None,2 h 23 min,1999,NR,Movie
Thirumalai,Tamil,6.2,2 h 46 min,2003,All,Movie
Chinnari Sneham,Telugu,7.4,2 h 16 min,1989,NR,Movie
Nagarik,Bengali,7.5,1 h 52 min,2017,13+,Movie
Eagoler Chokh,Bengali,7.2,1 h 57 min,2017,13+,Movie
Andala Papa,Telugu,None,1 h 33 min,2001,NR,Movie
Geetha,Kannada,6.1,2 h 28 min,2019,13+,Movie
99,Kannada,6.2,2 h 21 min,2019,13+,Movie
Manasa Kanya,Bengali,None,2 h 29 min,2017,13+,Movie
Swathi Kiranam,Telugu,8.1,2 h 21 min,1991,All,Movie
Rampage,Tamil,6.1,1 h 47 min,2018,13+,Movie
Maalai Nerathu Mayakkam,Kannada,6.4,2 h 1 min,2015,18+,Movie
Lara Croft: Tomb Raider,English,5.8,1 h 40 min,2001,18+,Movie
Birth of the Dragon,English,5.5,1 h 31 min,2017,13+,Movie
Harry Potter and the Deathly Hallows - Part 2,English,8.1,2 h 10 min,2011,13+,Movie
Peranbu (Malayalam),Malayalam,8.9,2 h 24 min,2019,13+,Movie
Ami Subhash Bolchi,Bengali,None,2 h 38 min,2017,13+,Movie
Aval Varuvala,Tamil,6.3,2 h 25 min,1998,13+,Movie
Scott Walker: 30 Century Man,English,7.3,1 h 39 min,2006,16+,Movie
Jee Chahta Hai,Hindi,None,1 h 39 min,2015,NR,Movie
Rann,Hindi,6.9,2 h 16 min,2010,13+,Movie
Amar Bhai Amar Bon,Bengali,5.2,2 h 21 min,2010,NR,Movie
Bhairava Geetha (Telugu),Telugu,7.8,1 h 59 min,2018,18+,Movie
Zinda,Hindi,4.9,1 h 45 min,2006,All,Movie
Ranganayaki,Kannada,9.5,2 h 42 min,1981,NR,Movie
The Conjuring 2,English,7.3,2 h 13 min,2016,18+,Movie
Ondanondu Kaladalli,Kannada,7.2,2 h 20 min,1978,NR,Movie
Bawarchi,Hindi,8,2 h 5 min,1972,All,Movie
Tappu Chesi Pappu Koodu,Telugu,5.4,2 h 26 min,2002,NR,Movie
Gayakudu,Telugu,5.2,2 h 18 min,2015,All,Movie
Annayum Rasoolum,Malayalam,7.4,2 h 39 min,2013,All,Movie
A Scandall,Hindi,3.1,1 h 48 min,2016,18+,Movie
Kannula Kaasa Kattappa,Tamil,5.8,1 h 54 min,2016,All,Movie
Nanagu Hendthi Beku,Kannada,None,2 h 17 min,1991,NR,Movie
Baba Taraknath,Bengali,5.5,2 h 30 min,2017,13+,Movie
Back to the Future II,Hindi,7.8,1 h 47 min,1989,All,Movie
Laysa Laysa,Tamil,6.1,2 h 34 min,2003,All,Movie
Malliswari,Telugu,7.8,2 h 37 min,None,NR,Movie
Haa,Kannada,None,1 h 45 min,2013,NR,Movie
Janani Janmabhumi,Telugu,7.9,2 h 12 min,2009,All,Movie
Laung Laachi,Punjabi,5.7,2 h 16 mins,2018,13+,Movie
Veta,Telugu,6.9,2 h 27 min,1986,NR,Movie
Paayum Puli,Tamil,6,2 h 11 min,1983,18+,Movie
STIR OF ECHOES,English,7,1 h 39 min,1999,18+,Movie
The Burning Train,Hindi,6.8,2 h 19 min,1980,All,Movie
Manhattan Night,English,6.2,1 h 54 min,2016,18+,Movie
Samaya Puratale Satchi,Tamil,None,2 h 13 min,1985,NR,Movie
Bidhatar Khela,Bengali,None,2 h 38 min,2017,13+,Movie
Bad Asses on the Bayou,English,5.3,1 h 24 min,2015,18+,Movie
Love Exchange,Hindi,5.3,2h,2015,13+,Movie
Shiva Leele,Kannada,None,2 h 24 min,1996,NR,Movie
Chintu Ji,Hindi,6,1 h 55 min,2009,NR,Movie
Kaal Ratri,Bengali,7.8,1 h 33 min,1997,NR,Movie
Appula Appa Rao,Telugu,7.2,2 h 19 min,1991,NR,Movie
Cigarette Ki Tarah,Hindi,4.4,2 h 5 min,2012,NR,Movie
Aap Mujhe Achche Lagne Lage,Hindi,3.1,2 h 46 min,2002,13+,Movie
KROOS,English,6.7,1 h 54 min,2019,13+,Movie
Cream of Mushroom Soup,Bengali,None,3min,2020,13+,Movie
Love U Mr. Kalakaar,Hindi,5.3,2 h 31 min,2011,All,Movie
Puttinillu Mettinillu,Telugu,None,2 h 30 min,1973,All,Movie
That Night,English,6.7,1 h 29 min,1993,13+,Movie
Suntaragaali,Kannada,None,2 h 40 min,2006,NR,Movie
Veera,Tamil,4.9,1 h 50 min,2018,18+,Movie
Aasegobba Meesegobba,Kannada,8.1,2 h 27 min,2001,NR,Movie
Good Time,English,7.4,1 h 41 min,2017,18+,Movie
Gumnaam,Hindi,7.1,2 h 23 min,None,18+,Movie
Gemini Ganeshanum Suruli Raajanum,Tamil,5.8,2 h 5 min,2017,All,Movie
Hai Golmaal In White House,Hindi,None,2 h 5 min,2013,NR,Movie
Guntur Talkies,Telugu,5.8,2 h 5 min,2016,18+,Movie
Moonlight,English,7.4,1 h 51 min,2016,18+,Movie
Dil Tera Deewana,Hindi,7.1,2 h 8 min,None,All,Movie
The Woman in Black 2,English,4.8,1 h 34 min,2015,18+,Movie
Kireedam - Malayalam,Malayalam,None,2 h 6 min,1998,All,Movie
Kaala (Tamil),Tamil,6.7,2 h 40 min,2018,13+,Movie
Durgeshgorer Guptodhon,Bengali,6.6,2 h 10 min,2019,All,Movie
Sundar Bou,Bengali,None,2 h 10 min,2017,13+,Movie
Amavasya Chandrudu,Telugu,None,2 h 16 min,1981,NR,Movie
Chasing Mavericks,Hindi,7.2,1 h 56 min,2012,7+,Movie
Yahudi,Hindi,7.2,2 h 30 min,None,NR,Movie
Underworld Rise of the Lycans,Tamil,6.6,1 h 32 min,2009,18+,Movie
Akka Pakka,Kannada,None,1 h 54 min,2013,NR,Movie
Kali Topi Lal Rumal,Hindi,6.1,2 h 9 min,None,NR,Movie
Phas Gaye Re Obama,Hindi,7.5,1 h 55 min,2010,18+,Movie
The Bourne Legacy,Hindi,6.6,2 h 14 min,2012,13+,Movie
Galipatam,Telugu,5.7,2 h 12 min,2014,18+,Movie
102 Not Out,Hindi,7.4,1 h 43 min,2018,All,Movie
Se Aamar Prem,Bengali,None,2 h 25 min,2014,13+,Movie
Sarivar Sari,Marathi,7.2,2 h 6 mins,2005,All,Movie
Ulsavapittennu,Malayalam,7,1 h 53 min,1989,NR,Movie
Mafia,Hindi,None,2 h 21 min,1996,NR,Movie
Vestige,English,None,1 h 15 min,2020,13+,Movie
Jeena Sirf Merre Liye,Hindi,4.4,2 h 17 min,2002,NR,Movie
Sense The Wind,English,None,54min,2020,13+,Movie
Indiana Jones and the Kingdom of the Crystal Skull,English,6.1,2 h 2 min,2008,All,Movie
King Kong,Hindi,7.2,3 h 7 min,2005,13+,Movie
Reva,Gujarati,8.4,2 h 32 min,2018,13+,Movie
Room,English,8.1,1 h 53 min,2015,18+,Movie
Adrift,English,6.6,1 h 32 min,2018,16+,Movie
Bhaktha Prahlada,Kannada,7.5,2 h 34 min,1983,NR,Movie
Iye Marathichiye Nagari,Marathi,5,2 h 6 mins,1966,All,Movie
The Matrix Reloaded,Hindi,7.2,2 h 18 min,2003,18+,Movie
Unakkenna Venum Sollu,Tamil,5.7,2 h 2 min,2015,13+,Movie
Mithai,Tamil,4.3,2 h 17 min,2019,13+,Movie
Kathanam,Telugu,3.8,1 h 50 min,2019,13+,Movie
Andha Naal,Tamil,7.8,2 h 15 min,1954,All,Movie
Trash Humpers,English,5.1,1 h 17 min,2009,18+,Movie
Sooper Se Ooper,Hindi,4.3,1 h 42 min,2013,13+,Movie
Secrets of Deception,English,4.2,1 h 14 min,2017,18+,Movie
Chhaya O Chhobi,Bengali,6.8,2 h 6 min,2017,13+,Movie
Pannaiyarum Padminiyum,Tamil,7.8,2 h 27 min,2014,All,Movie
Highway Hitcher,English,4.9,1 h 28 min,1999,16+,Movie
Bhalo Theko,Bengali,6.2,1 h 59 min,2003,All,Movie
Television,Bengali,8.2,1 h 47 min,2020,13+,Movie
Maalai Nerathu Mayakkam,Tamil,6.4,2 h 1 min,2015,18+,Movie
Taagam Thaagam,Tamil,None,1 h 9 min,1995,NR,Movie
Neranja Manasu,Tamil,2.9,2 h 30 min,2004,All,Movie
Kismet,Hindi,6.3,1 h 51 min,None,NR,Movie
Seeta Aur Geeta,Hindi,6.8,2 h 28 min,1972,All,Movie
Man Ka Meet,Hindi,5.7,2 h 30 min,None,NR,Movie
Boumar Banabas,Bengali,None,2 h 42 min,2017,13+,Movie
Arshinagar,Bengali,4.5,2 h 24 min,2017,13+,Movie
Mukkam Post Dhanori,Marathi,5,2 h 13 mins,2014,All,Movie
Top Cat (Bengali),Bengali,None,1 h 26 min,2012,7+,Movie
Raghu Rai: An Unframed Portrait,English,6.4,55min,2019,13+,Movie
Bhoot Returns,Hindi,2.5,1 h 27 min,2012,NR,Movie
NH10,Hindi,7.2,1 h 51 min,2015,NR,Movie
Dongaata,Telugu,6.9,2 h 27 min,1997,All,Movie
Deva Shapath Khota Saangen Khara Sangnar Nahi,Marathi,6.2,2 h 11 mins,2006,All,Movie
Ready Player One,English,7.5,2 h 19 min,2018,16+,Movie
Aa Gale Lag Jaa,Hindi,7.2,2 h 37 min,1993,13+,Movie
Je Pan Kahish E Sachuj Kahish,Gujarati,7.3,1 h 40 min,2016,18+,Movie
Maha Chandi,Telugu,None,2 h 15 min,2006,NR,Movie
Divyadarshanam,Malayalam,None,2 h 19 min,1973,NR,Movie
Kaal,Bengali,4.6,1 h 46 min,2017,13+,Movie
ETHIRI,Tamil,5.3,2 h 38 min,2004,13+,Movie
Mamangam,Tamil,6.4,2 h 36 min,2019,13+,Movie
Ora Thakey Odharey,Bengali,7.3,1 h 39 min,2017,13+,Movie
Oru Naal Oru Kanavu,Tamil,5.9,2 h 25 min,2005,All,Movie
Reservoir Dogs,English,8.3,1 h 39 min,1992,18+,Movie
The Good Samaritan Museum,English,None,52min,2020,13+,Movie
Hanthakulu Devanthakulu,Telugu,None,2 h 22 min,1972,NR,Movie
Haami,Bengali,8,2 h 12 min,2018,13+,Movie
Shirdi Saibaba,Hindi,None,2 h 30 min,2001,All,Movie
Sanabi,English,7.8,1 h 24 min,1994,NR,Movie
Trimurtulu,Telugu,6.3,2 h 25 min,1987,NR,Movie
Caravan of the Books: Kenya's Mobile Camel Library,English,None,50min,2020,13+,Movie
Eetharam Manishi,Telugu,None,2 h 16 min,None,NR,Movie
Grease,English,7.2,1 h 50 min,1978,18+,Movie
Te Aath Diwas,Marathi,2.6,1 h 54 mins,2015,All,Movie
Popat,Marathi,7,2 h 33 mins,2013,13+,Movie
Dharma Yudha,Bengali,None,2 h 15 min,2018,13+,Movie
Amar Akbar Anthony,Hindi,7.5,2 h 46 min,1977,All,Movie
300,Tamil,7.6,1 h 56 min,2007,18+,Movie
The Only Living Boy in New York,English,6.3,1 h 28 min,2018,18+,Movie
Kalavaramaye Madhilo,Telugu,6.2,2 h 20 min,2009,All,Movie
Chinthavishtayaya Shyamala,Malayalam,8,2 h 8 min,1998,All,Movie
Gireja Kalyanam,Telugu,None,2 h 35 min,1990,NR,Movie
Venky Mama,Telugu,5.4,2 h 21 min,2019,13+,Movie
The Bumble Nums - Season 2,English,None,55min,2018,All,Movie
Hum Hai Teen Khurafaati,Hindi,5.8,2 h 6 min,2014,NR,Movie
O Taareee,Gujarati,5.2,1 h 54 min,2017,13+,Movie
The Mechanic,Hindi,6.6,1 h 28 min,2011,18+,Movie
Calcutta 71,Bengali,7.7,1 h 56 min,2019,13+,Movie
Spider-Man 3,Tamil,6.2,2 h 19 min,2007,13+,Movie
Baar Baar Dekho,Hindi,5.3,2 h 15 min,2016,16+,Movie
Birbal Trilogy,Kannada,7.8,2 h 21 min,2019,16+,Movie
Bhojon E Bhogoban,Bengali,None,16min,2018,All,Movie
Dui Prithibi (2017),Bengali,None,2 h 30 min,2017,13+,Movie
Dil Ka Rishta,Hindi,4.7,2 h 23 min,2003,All,Movie
Freefall: Flight 174,English,5.9,1 h 34 min,1995,16+,Movie
Milan,Hindi,6.8,2 h 43 min,None,All,Movie
Shapadam,Telugu,None,2 h 18 min,1972,NR,Movie
Mooruvare Vajragalu,Kannada,8.1,2 h 9 min,1973,NR,Movie
Daddy's Home 2,English,6,1 h 39 min,2017,16+,Movie
Kozhi Koovuthu,Tamil,7.5,2 h 15 min,1982,NR,Movie
